U10,V10
-7.001982331,-1.563858242
-8.334200254,-1.563858242
-11.43310318,-2.899534909
-13.10447142,-7.021116943
-3.463070662,-13.70408236
0.495899737,-12.34893185
0.104657702,-9.921574339
-1.94132756,-6.677460854
-3.402112271,-0.514561648
-3.061853617,3.2805471
-0.235600952,4.81439878
0.39282464,6.931320291
0.121282717,6.935902372
0.794041685,6.690761029
3.65576105,7.057327524
2.791260235,9.126137183
8.265323729,4.572693997
8.336257129,-5.176829263
6.189413438,1.85781089
6.135105054,1.635579952
3.203560623,-1.123978447
1.024575236,-2.872042422
-1.23753523,-3.974032949
-4.698863493,0.028414973
-3.835471013,1.889885458
-1.348368668,2.152209606
0.934800151,-2.642938363
4.575678583,-1.450451732
3.098268857,-3.642977583
3.891836272,-2.827367131
2.854435294,-3.087400238
-1.520160497,-2.392069417
-2.785878357,2.629891571
-2.435644693,3.728445537
0.088032686,2.409951674
-0.795309813,3.682624725
-0.664526357,5.465054309
1.091075298,6.216515625
5.37478767,4.022844254
2.803451913,4.77659661
2.455434918,8.569414318
4.270886629,8.876413758
5.516654471,8.61638065
4.580111921,9.247562335
2.08635957,10.94064134
3.145927236,10.32320589
2.382284849,7.475442433
-2.277152877,5.88889682
-4.51820499,8.228049269
-0.490517859,8.7320782
4.107961476,1.027308673
6.794564009,-4.543356538
4.08357812,-1.498563585
2.308026446,-2.435599189
0.800691691,-5.031348185
-0.192375912,-2.51807665
-2.392419652,3.655132238
-0.923876601,3.867053493
3.032877129,-1.790671261
3.099377192,-2.05643197
1.135408674,0.833715743
2.275884749,2.681439984
2.873276979,-8.231931898
8.38724051,-8.254842304
9.725000105,-8.021156164
9.63522502,-5.377295315
6.582872142,-4.382983696
3.533844268,-1.086176277
2.007667829,3.844143087
2.373418174,6.084780791
1.815925982,4.288604963
-3.138328689,3.753646984
-5.749564484,9.907382026
-11.53285327,8.738951322
-15.61263212,7.947396796
-15.15599835,-0.534035493
-10.66613579,-10.6020134
-10.26602708,-10.17931641
-7.049640709,-7.562948044
-5.524572605,-6.305166757
-1.685302319,-3.66817903
-0.163559218,-0.886855745
0.932583482,1.239229929
0.829508385,3.572654776
-1.896994185,-0.987661531
3.958336335,-5.438007891
6.438788673,-3.754093052
8.870474299,0.724891315
5.246220882,1.39731173
1.216317083,0.774148687
1.421358943,-0.287748629
-0.550367916,-0.425211065
-2.517661437,2.678003423
-1.595527234,1.680255243
-0.523767891,-0.216726371
-0.383009425,-2.270644266
0.032615967,1.186535995
2.129584611,0.604611683
2.760226872,-1.912096412
1.433550621,1.647035155
0.707591604,4.833872625
3.379785789,6.462802489
4.340711695,4.295478085
3.290010705,5.58189738
2.106309589,6.454783847
3.343210755,5.295517305
2.010992832,0.895573839
-1.130026796,-3.865208521
-6.267156638,-3.623503738
-5.270764032,-0.363352969
-1.056876727,0.441947801
-1.686410653,0.061635062
-3.463070662,1.076566046
-2.646228225,2.238123629
-3.944087782,-0.157159315
-4.7764469,-1.44357861
-5.157713926,0.596593041
-3.51072904,0.680216023
-2.50325309,1.632143391
-1.130026796,2.653947497
-2.284911218,3.628785271
-1.250835243,4.703283311
-1.130026796,2.445462803
-1.493560472,2.305709326
-0.592484622,0.281574959
1.892401054,-3.276411088
4.612253618,-6.265073546
5.126520769,-1.091903879
6.372288611,1.584031538
5.249545885,-5.132153971
3.185827273,-4.762150915
1.165333702,-0.800941723
-0.882868229,-1.511164308
0.836158391,1.855519849
4.633311971,-6.169995361
1.422467277,-8.404905463
-3.551737412,-5.045094428
-1.278543602,-3.573100845
0.281991202,-3.463130896
0.272016193,-3.720872963
-1.394918712,-0.201834607
-0.465026169,3.991915206
2.894335332,0.441947801
-2.115336058,-2.28782707
-5.157713926,0.242627269
-2.112011055,4.325261612
1.872451035,5.288644183
3.66351939,5.230222648
1.720609225,4.939260492
2.925368694,5.668956922
2.876601982,2.560014833
-0.268850984,1.863538491
-1.30846863,1.924251067
-0.741001429,3.653986718
1.737234241,3.151103307
1.215208749,4.020553213
0.457108034,7.103148336
1.378133902,7.032126078
2.6128184,4.879693437
0.162291089,4.744522042
-1.715227347,6.002303329
-0.911684923,5.579606339
0.778525004,3.668878481
0.293074546,4.052627781
-0.519334553,5.910661705
0.198866124,5.024028994
0.831725054,3.753646984
-0.968209976,5.08245053
-1.227560221,7.689654729
-1.307360296,8.027583217
-4.225604714,5.041211799
2.554076678,0.461421646
1.201908736,1.429386298
1.148708686,0.299903284
-1.048010052,0.188787815
-0.876218223,0.013523209
-1.177685174,-3.55477252
-0.813043163,-3.129784489
-0.135850858,-1.729958685
-0.19459258,0.295321203
-1.655377291,4.327552653
-0.467242837,5.282916582
-1.669785638,6.205060422
0.497008072,8.484645816
1.24845878,5.365394043
5.548796168,-4.260413024
2.859976966,-2.348539646
1.360400552,2.215213223
1.013491892,3.351569359
2.823401932,3.037696797
1.034550245,-3.295884933
-2.884520116,-2.486002082
-5.663114402,-1.460761415
-5.420389174,-0.004805115
-4.595788396,-1.117105325
-3.8576377,0.817678459
-3.898646072,3.054879602
-1.882585838,2.483264973
-0.692234716,0.074235785
-1.325093646,0.346869616
-2.839078407,3.818941641
-0.87289322,5.437561822
1.279492143,6.000012289
1.567659081,6.27264612
-0.082650808,6.380325028
0.234332824,7.606031747
2.928693697,6.193605219
3.190260611,4.135105243
1.851392682,4.078974748
2.55961835,3.640240474
2.475384937,4.476470292
2.12182627,4.486779975
1.432442287,4.875111356
2.242634717,3.153394347
3.407494149,1.595486741
3.384219127,2.044530698
2.316893121,2.132735761
2.830051938,1.164771109
2.601735056,0.959722976
1.175308711,3.161412989
0.847241735,6.334504216
3.652436046,9.654222041
5.572071189,7.867210375
4.266453292,5.510875121
2.432159896,5.216476405
2.526368318,0.963159537
1.647459156,0.870372393
1.199692067,1.28390522
-0.394092768,4.431795
0.311916231,4.89343968
2.755793534,2.766208486
1.728367566,1.940288351
3.448502521,2.58750732
2.867735307,-1.063265871
3.518327587,0.425910517
3.587044318,0.959722976
3.30663572,3.408845374
3.622511018,1.698583568
3.488402558,-0.232763655
2.022076176,-1.341627304
-2.509903096,1.989545724
-3.487454018,2.047967259
-2.19956947,3.31949479
-1.991202607,2.004437488
-1.034710039,4.100739634
-0.37414275,3.146521225
5.220729192,6.361996703
4.887120544,4.649443857
3.149252239,5.318427711
4.130128163,7.838572368
5.396954358,3.035405756
3.470669208,4.075538187
2.592868381,1.711184292
1.603125781,0.113183475
-0.732134754,-1.485962861
-3.717987569,-0.417192423
-4.466113274,-2.183584723
-3.901971075,-4.511281969
-4.075979573,-7.606477816
-2.253877855,-4.848064937
-3.996179498,0.36061586
-2.314836246,2.602399084
-1.861527485,0.633249691
-2.054377667,1.249539611
0.254282843,-3.274120047
1.447958968,-1.435559968
-2.008935957,0.902446961
-3.040795264,1.038763876
1.628617472,3.39624465
3.261194011,3.105282495
2.66601845,-1.779216058
5.47342943,-3.962577746
7.59478143,-5.844667597
6.651588874,-5.821757191
5.186370826,-4.673945852
2.16726798,-3.098855441
0.25095784,2.700913829
3.568202634,4.549783591
4.786262115,0.952849854
4.061411432,0.63210417
2.409993208,2.501593297
2.285859758,0.051325379
1.450175637,-1.831909991
-2.043294323,-2.090797579
-3.249162127,1.046782518
-2.599678181,2.946055173
-0.871784885,3.407699853
-1.005893345,3.919747427
-1.094560095,6.664414062
0.193324452,6.570481397
-1.296276952,4.916350086
-0.993701667,4.092720992
-3.337828877,3.477576592
-0.717726407,3.801758836
-0.47056784,2.172828972
-1.210935205,1.767314786
-3.071828626,3.838415486
-0.121442511,3.375625285
1.833659332,2.618436368
0.867191754,4.515417982
-1.159951824,6.411254076
1.437983959,6.80989514
1.691792531,7.852318611
1.527759043,9.032204518
-0.023909086,9.821468004
1.143167014,10.14450473
1.07888362,4.835018145
0.648849882,-2.282099469
0.014882617,-4.142424433
-1.256376915,-4.035891045
-0.349759393,-6.161976719
-0.500492869,-6.904273873
-3.674762528,-6.290274993
-4.204546361,-3.932794219
-4.134721295,-3.943103901
-4.550346687,-2.86402378
-4.570296705,-2.608572754
-5.14108891,-2.000301475
-5.748456149,-2.435599189
-5.826039556,-4.575431106
-8.39405031,-6.66486013
-6.712707059,-6.727863747
-4.793071915,-6.619039318
-4.503796643,-5.276489529
-5.359430783,-2.909844592
-2.506578093,-0.438957309
0.529149769,0.057052981
1.475667328,1.39845725
-0.910576589,3.991915206
0.478166387,5.206166722
-4.068221232,0.907029042
-5.879239606,4.332134734
-5.8725896,4.837309186
-8.791942352,6.69763415
-10.53535233,0.743219639
-10.13191862,-4.959180406
-8.746500643,-10.46913304
-1.81719411,-10.18962609
0.880491767,-7.750813373
-0.856268204,-3.490623383
-1.798352426,2.998749107
-2.427886352,5.106506456
-3.911946085,2.251869872
-1.10342677,-1.295806492
-1.765102394,0.877245514
-0.349759393,2.657384058
0.078057677,0.343433055
-1.931352551,0.557645351
-1.914727535,0.920775286
-1.882585838,2.614999807
-0.020584083,1.903631702
-0.369709412,3.340114156
1.074450283,5.339047076
2.927585363,3.796031235
2.845568619,1.555393531
1.948926107,0.869226872
-0.398526106,0.790185972
-0.447292819,1.01470795
-1.35391034,-0.697844896
-1.277435268,0.320522649
-3.941871113,-1.988846272
-4.237796392,-0.776885797
-3.763429278,-0.506543006
-4.503796643,0.872663433
-4.40182988,2.923144767
-3.604937462,4.066374025
-1.223126883,4.595604403
-0.3918761,6.00344885
0.182241108,5.392886531
2.939777041,5.240532331
3.171418926,5.412360376
2.795693572,5.580751859
1.130975336,3.616184548
5.342645973,4.209564062
2.046459532,0.806223256
-0.41736779,-0.871963981
-0.494951197,2.535958906
2.822293597,2.996458066
3.215752301,2.327474212
1.92675942,1.593195701
0.369549618,4.303496727
1.815925982,4.321825052
2.769093547,-0.216726371
1.536625718,0.288448081
-0.026125755,4.034299457
1.249567114,4.287459443
3.050610479,4.043463619
2.702593484,3.601292784
2.009884498,4.703283311
2.948643716,6.124874001
3.703419428,4.114485878
3.864127913,3.015931911
3.427444168,3.360733521
3.311069058,1.202573279
1.431333953,-2.814766407
-1.076826745,-0.898310948
-2.670611581,0.008941128
-3.382162252,1.16706215
-1.730744028,1.310252187
-3.274653817,1.000961707
-4.600221734,2.655093017
-2.669503247,5.254278574
1.78267595,6.548716512
3.487294224,5.073286367
2.751360197,2.633328132
0.502549744,1.396166209
0.464866375,-0.888001266
-0.38190109,-1.804417504
-2.305969571,2.366421902
-2.066569345,3.62420319
-0.006175736,0.748947241
0.700941597,1.366382682
-0.488301191,1.722639495
1.317175512,0.854335108
0.914850132,-2.833094732
0.946991829,-3.697962557
-3.048553604,0.506096938
-1.993419276,1.841773606
-2.483303071,-0.592457029
-3.872046047,0.896719359
-3.27797882,2.373295024
-2.025560973,3.266800857
0.368441284,1.274741058
-0.921659932,0.997525146
-1.741827372,3.847579648
0.914850132,3.999933848
-0.080434139,1.16820767
-1.662027297,0.948267773
-2.567536484,3.652841197
-1.482477128,3.941512312
0.04591598,2.869305313
-1.029168367,2.500447777
-3.934112772,2.582925239
-2.172969445,2.93459997
-3.273545483,-1.011717458
-4.175729667,-1.859402479
-4.82964695,-3.072508475
-3.836579347,-3.522697952
-3.345587218,-5.624727699
-4.351954833,-5.106952524
-5.461397546,-4.219174293
-4.787530244,-3.135512091
-3.580554106,-5.211194872
-5.405980827,-5.156209897
-6.25496496,-2.78498288
-4.760930218,-2.099961741
-3.86761271,-2.097670701
-4.184596342,-2.199622007
-5.032472141,-2.358849329
-4.934938716,-2.906408031
-5.023605466,-1.52032847
-4.902797019,-0.469886357
-4.729896856,0.716872673
-2.6550949,0.029560493
-0.800851485,1.299942504
1.672950847,5.359666442
2.437701568,8.452571248
5.493379449,5.701031491
3.188043942,1.829172882
0.839483395,-0.896019908
-1.04246838,3.464975868
1.037875248,4.153433568
3.221293973,1.487807833
0.150099411,-5.377295315
-3.988421157,-0.550072777
-4.242229729,0.958577455
-5.46250588,-0.503106445
-6.740415418,0.572537115
-5.828256225,1.231211287
-3.151628701,2.055985901
2.475384937,5.00799171
2.032051185,-2.702505418
-1.527918837,-3.93852182
-1.922485876,-0.924657915
1.575417422,-1.144597812
2.008776164,0.126929719
3.056152151,2.480973932
4.504745183,-0.970478727
1.995476151,-5.253579123
-2.150802758,-3.47916818
-2.15634443,1.600068823
1.15979203,5.455890147
3.558227624,3.222125565
0.617816519,-3.129784489
-0.798634816,1.488953354
1.281708811,4.434086041
1.538842387,5.214185364
2.87106031,8.036747379
1.370375562,5.017155873
-1.108968442,4.568111916
2.603951725,7.434203702
4.984653969,7.875229017
4.67099534,12.22018751
6.308005217,12.85824232
7.327672845,9.632457155
3.887402935,-6.631640042
-1.615477253,-2.455073034
-2.247227849,1.037618356
-0.044967439,0.098291711
-1.239751899,-2.467673757
-2.335894599,1.008980349
-2.475544731,0.697398827
-4.429538239,0.881827595
-5.200938967,-1.984264191
-5.752889487,-0.831870771
-5.935764659,-1.813581667
-3.865396041,-3.041579426
-5.280739042,-3.978615031
-5.546739293,-2.154946716
-4.814130269,-0.929239996
-4.8473803,-0.79063204
-5.807197872,-0.609639833
-5.510164258,2.62530949
-5.254139017,4.032008416
-3.423170624,5.957628038
-2.62738654,6.400944393
-1.68308565,5.876296096
-0.582509613,5.985120525
2.046459532,5.687285247
1.690684197,3.440919942
0.194432786,2.697477268
-0.136959193,3.231289727
0.483708059,3.85445277
2.351251486,7.077946889
1.672950847,9.600382586
-0.04275077,9.601528107
3.489510893,14.30961653
11.27001823,6.756055686
7.682339846,-4.85952014
5.441287733,-3.943103901
3.534952602,-4.000379916
-1.132243464,-2.741453108
-3.420953955,4.060646424
-2.612978194,4.887712079
-0.970426645,6.033232377
0.075841008,5.753725425
0.186674446,4.769723488
2.221576364,2.928872369
2.083034567,-1.065556912
2.323543127,-5.008437779
-1.408218724,-4.531901335
-1.623235594,-2.059868531
0.604516506,-3.20767987
-0.181292568,-3.020960061
-1.795027422,1.045636998
-1.238643565,2.32060109
-2.116444392,-0.02313344
-1.337285324,-6.24330866
-4.662288459,-3.465421937
-2.876761776,-1.420668204
3.001843766,-4.349763607
2.912068682,-6.322349561
-0.3918761,-4.904195432
-1.071285073,-3.522697952
-0.555909588,-5.423116127
-1.88036917,-4.308524876
-2.635144881,-1.695593076
-2.731569972,1.482080232
-1.179901843,2.038803097
0.347382931,4.247366232
-0.737676426,6.075616628
1.209667077,7.441076824
3.251219002,7.466278271
3.028443792,7.864919334
3.502810905,10.19605314
3.970528013,9.276200342
4.123478157,9.335767398
5.486729442,8.662201462
4.213253242,5.331028434
3.721152778,-3.412728003
0.431616343,-2.343957565
2.161726308,-4.114931946
0.791825016,-1.472216618
0.336299587,-4.299360714
-1.934677554,-6.960404367
-4.718813512,-5.04967651
-4.350846499,-0.147995153
-2.667286578,3.692934408
1.218533752,4.597895443
-1.140001805,5.5830429
-0.726593082,5.50743856
1.079991955,4.956443297
4.375070061,4.484488934
5.573179524,-0.413755862
0.827291716,-4.904195432
-0.494951197,-4.28332343
-1.065743402,-4.962616967
-3.365537236,0.20711614
-1.281868605,3.925475028
-3.121703673,5.876296096
-2.017802632,4.383683148
-2.12087773,4.938114972
-3.259137136,5.872859536
-1.444793759,5.633445793
-0.940501617,3.368752163
1.617534128,4.675790824
